Country / Region	2014	2015	2016	2017	2018
1	China/Hong Kong	44,400	40,430	38,520	38,970	40,250
2	Indonesia	13,430	13,200	13,010	12,620	12,540
3	India	5,340	3,260	4,270	5,420	6,060
4	Japan	5,500	5,540	5,660	5,660	5,780
5	Viet Nam	5,000	4,800	4,920	5,060	5,200
6	USA	4,280	4,080	4,100	4,130	4,400
7	Philippines	3,320	3,480	3,410	3,750	3,980
8	Republic of Korea	3,590	3,650	3,830	3,740	3,820
9	Thailand	3,070	3,070	3,360	3,390	3,460
10	Brazil	2,370	2,370	2,350	2,230	2,370
11	Russia	1,940	1,840	1,570	1,780	1,850
12	Nigeria	1,520	1,540	1,650	1,760	1,820
13	Nepal	1,110	1,190	1,340	1,480	1,570
14	Malaysia	1,340	1,370	1,390	1,310	1,370
15	Mexico	900	850	890	960	1,180
16	Taiwan	710	680	770	820	830
17	Myanmar	410	460	570	590	600
18	Saudi Arabia	490	510	510	530	550
19	Australia	360	370	380	390	410
20	UK	360	360	360	360	370
21	Cambodia	250	270	280	330	330
22	Ukraine	580	410	280	330	320
23	Bangladesh	250	270	290	350	310
24	Poland	300	310	310	310	310
25	South Africa	190	190	200	240	260
26	Guatemala	210	190	270	270	230
27	Egypt	190	200	210	220	220
28	Germany	180	190	200	200	200
29	Canada	190	190	190	190	190
30	Pakistan	150	160	170	190	190
31	Kazakhstan	140	140	240	210	170
32	Sri Lanka	N/A	N/A	N/A	N/A	170
33	Peru	120	130	130	140	160
34	Singapore	130	130	130	130	130
35	Uzbekistan	110	110	100	120	120
36	Czech Republic	60	90	90	80	90
37	New Zealand	80	80	80	80	80
38	Ethiopia	40	50	40	80	80
39	Spain	40	50	70	70	70
40	France	60	60	60	60	60
41	Turkey	20	30	40	50	50
42	Kenya	40	40	50	50	50
43	Iran	40	40	40	50	50
44	Sweden	30	30	40	40	40
45	Hungary	20	20	30	30	30
46	Chile	40	40	30	20	30
47	Netherlands	20	20	20	30	20
48	Italy	10	20	20	20	20
49	Colombia	10	10	10	10	20
50	Belgium	20	20	20	20	20
51	Denmark	20	10	10	10	10
52	Costa Rica	10	10	10	10	10
53	Finland	10	10	10	10	10
54	Argentina	10	10	10	10	10
55	Switzerland	10	10	10	10	10
-	Others	940	940	930	1,150	1,150
